                    Element nb,             Integration Point,                          Time,                        Stress,                  Total Strain,          Visco-plastic Strain,Equivalent viscoplastic Strain,                   Back Stress,                  Yield Stress,
                             1,                             1,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                9.99500333E-01,                9.99500333E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00376605E+00,
                             1,                             1,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.00376605E+00,
                             1,                             2,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00376605E+00,
                             1,                             2,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.00376605E+00,
                             1,                             1,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00376605E+00,
                             1,                             1,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.00376605E+00,
                             1,                             2,                4.00000000E-01,                1.90761752E+00,                1.99800266E-03,                9.03851468E-05,                9.03851468E-05,                0.00000000E+00,                1.00376605E+00,
                             1,                             2,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.00376605E+00,
                             1,                             1,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             1,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             2,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             1,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             1,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             2,                6.00000000E-01,                2.73292539E+00,                2.99550898E-03,                2.62583588E-04,                2.62583588E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.01094098E+00,
                             1,                             1,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
